RtuNo,IOA_M,IOA_Mtt,IOA_C,Description,Name,TagName,LowerBound,UpperBound,DimensionText
1001,1,5001,10001,Measured Current,M10_I,RTU_GLOBAL_M10_I,-10,10,A
1001,2,5002,10002,Measured Voltage,M10_V,RTU_GLOBAL_M10_V,-500,500,V
1001,3,5003,10003,Measured Current,M20_I,RTU_GLOBAL_M20_I,-10,10,A
1001,4,5004,10004,Measured Voltage,M20_V,RTU_GLOBAL_M20_V,-500,500,V
1001,5,5005,10005,Measured Current,M11_I,RTU_GLOBAL_M11_I,-10,10,A
1001,6,5006,10006,Measured Voltage,M11_V,RTU_GLOBAL_M11_V,-500,500,V
1001,7,5007,10007,Measured Current,M21_I,RTU_GLOBAL_M21_I,-10,10,A
1001,8,5008,10008,Measured Voltage,M21_V,RTU_GLOBAL_M21_V,-500,500,V
1001,9,5009,10009,Measured Current,M31_I,RTU_GLOBAL_M31_I,-10,10,A
1001,10,5010,10010,Measured Voltage,M31_V,RTU_GLOBAL_M31_V,-500,500,V
1001,11,5011,10011,Measured Current,M41_I,RTU_GLOBAL_M41_I,-10,10,A
1001,12,5012,10012,Measured Voltage,M41_V,RTU_GLOBAL_M41_V,-500,500,V
1001,13,5013,10013,Measured Current,M51_I,RTU_GLOBAL_M51_I,-10,10,A
1001,14,5014,10014,Measured Voltage,M51_V,RTU_GLOBAL_M51_V,-500,500,V
1001,15,5015,10015,Measured Current,M32_I,RTU_GLOBAL_M32_I,-10,10,A
1001,16,5016,10016,Measured Voltage,M32_V,RTU_GLOBAL_M32_V,-500,500,V
1001,17,5017,10017,Measured Current,M42_I,RTU_GLOBAL_M42_I,-10,10,A
1001,18,5018,10018,Measured Voltage,M42_V,RTU_GLOBAL_M42_V,-500,500,V
1001,19,5019,10019,Measured Current,M52_I,RTU_GLOBAL_M52_I,-10,10,A
1001,20,5020,10020,Measured Voltage,M52_V,RTU_GLOBAL_M52_V,-500,500,V
1001,21,5021,10021,Measured Current,M62_I,RTU_GLOBAL_M62_I,-10,10,A
1001,22,5022,10022,Measured Voltage,M62_V,RTU_GLOBAL_M62_V,-500,500,V
1001,23,5023,10023,Measured Current,M72_I,RTU_GLOBAL_M72_I,-10,10,A
1001,24,5024,10024,Measured Voltage,M72_V,RTU_GLOBAL_M72_V,-500,500,V
1001,25,5025,10025,Measured Current,M82_I,RTU_GLOBAL_M82_I,-10,10,A
1001,26,5026,10026,Measured Voltage,M82_V,RTU_GLOBAL_M82_V,-500,500,V
1001,27,5027,10027,Measured Current,M92_I,RTU_GLOBAL_M92_I,-10,10,A
1001,28,5028,10028,Measured Voltage,M92_V,RTU_GLOBAL_M92_V,-500,500,V
1001,29,5029,10029,Measured Current,M63_I,RTU_GLOBAL_M63_I,-10,10,A
1001,30,5030,10030,Measured Voltage,M63_V,RTU_GLOBAL_M63_V,-500,500,V
1001,31,5031,10031,Measured Current,M73_I,RTU_GLOBAL_M73_I,-10,10,A
1001,32,5032,10032,Measured Voltage,M73_V,RTU_GLOBAL_M73_V,-500,500,V
1001,33,5033,10033,Measured Current,M83_I,RTU_GLOBAL_M83_I,-10,10,A
1001,34,5034,10034,Measured Voltage,M83_V,RTU_GLOBAL_M83_V,-500,500,V
1001,35,5035,10035,Measured Current,M93_I,RTU_GLOBAL_M93_I,-10,10,A
1001,36,5036,10036,Measured Voltage,M93_V,RTU_GLOBAL_M93_V,-500,500,V
1001,1001,6001,11001,Switch State,SW10_STATE,RTU_GLOBAL_SW10_STATE,,,Closed/Open
