RtuNo,IOA_M,IOA_Mtt,IOA_C,Description,Name,TagName,LowerBound,UpperBound,DimensionText
1001,1,5001,10001,Measured Current,M11_I,RTU_BUS1_M11_I,,,A
1001,2,5002,10002,Measured Voltage,M11_V,RTU_BUS1_M11_V,,,V
1001,3,5003,10003,Measured Current,M21_I,RTU_BUS1_M21_I,,,A
1001,4,5004,10004,Measured Voltage,M21_V,RTU_BUS1_M21_V,,,V
1001,5,5005,10005,Measured Current,M31_I,RTU_BUS1_M31_I,,,A
1001,6,5006,10006,Measured Voltage,M31_V,RTU_BUS1_M31_V,,,V
1001,7,5007,10007,Measured Current,M41_I,RTU_BUS1_M41_I,,,A
1001,8,5008,10008,Measured Voltage,M41_V,RTU_BUS1_M41_V,,,V
1001,9,5009,10009,Measured Current,M51_I,RTU_BUS1_M51_I,,,A
1001,10,5010,10010,Measured Voltage,M51_V,RTU_BUS1_M51_V,,,V
1001,11,5011,10011,Measured Current,M32_I,RTU_BUS2_M32_I,,,A
1001,12,5012,10012,Measured Voltage,M32_V,RTU_BUS2_M32_V,,,V
1001,13,5013,10013,Measured Current,M42_I,RTU_BUS2_M42_I,,,A
1001,14,5014,10014,Measured Voltage,M42_V,RTU_BUS2_M42_V,,,V
1001,15,5015,10015,Measured Current,M52_I,RTU_BUS2_M52_I,,,A
1001,16,5016,10016,Measured Voltage,M52_V,RTU_BUS2_M52_V,,,V
1001,17,5017,10017,Measured Current,M62_I,RTU_BUS2_M62_I,,,A
1001,18,5018,10018,Measured Voltage,M62_V,RTU_BUS2_M62_V,,,V
1001,19,5019,10019,Measured Current,M72_I,RTU_BUS2_M72_I,,,A
1001,20,5020,10020,Measured Voltage,M72_V,RTU_BUS2_M72_V,,,V
1001,21,5021,10021,Measured Current,M63_I,RTU_BUS3_M63_I,,,A
1001,22,5022,10022,Measured Voltage,M63_V,RTU_BUS3_M63_V,,,V
1001,23,5023,10023,Measured Current,M73_I,RTU_BUS3_M73_I,,,A
1001,24,5024,10024,Measured Voltage,M73_V,RTU_BUS3_M73_V,,,V
1001,25,5025,10025,Measured Current,M83_I,RTU_BUS3_M83_I,,,A
1001,26,5026,10026,Measured Voltage,M83_V,RTU_BUS3_M83_V,,,V
1001,27,5027,10027,Measured Current,M93_I,RTU_BUS3_M93_I,,,A
1001,28,5028,10028,Measured Voltage,M93_V,RTU_BUS3_M93_V,,,V
1001,29,5029,10029,Measured Current,M104_I,RTU_BUS3T_M104_I,,,A
1001,30,5030,10030,Measured Voltage,M104_V,RTU_BUS3T_M104_V,,,V
1001,31,5031,10031,Measured Current,M114_I,RTU_BUS3T_M114_I,,,A
1001,32,5032,10032,Measured Voltage,M114_V,RTU_BUS3T_M114_V,,,V
1001,33,5033,10033,Measured Current,M84_I,RTU_BUS3T_M84_I,,,A
1001,34,5034,10034,Measured Voltage,M84_V,RTU_BUS3T_M84_V,,,V
1001,35,5035,10035,Measured Current,M94_I,RTU_BUS3T_M94_I,,,A
1001,36,5036,10036,Measured Voltage,M94_V,RTU_BUS3T_M94_V,,,V
1001,37,5037,10037,Measured Current,M105_I,RTU_GENCON_M105_I,,,A
1001,38,5038,10038,Measured Voltage,M105_V,RTU_GENCON_M105_V,,,V
1001,39,5039,10039,Measured Current,M10_I,RTU_GENCON_M10_I,,,A
1001,40,5040,10040,Measured Voltage,M10_V,RTU_GENCON_M10_V,,,V
1001,41,5041,10041,Measured Current,M115_I,RTU_GENCON_M115_I,,,A
1001,42,5042,10042,Measured Voltage,M115_V,RTU_GENCON_M115_V,,,V
1001,43,5043,10043,Measured Current,M20_I,RTU_GENCON_M20_I,,,A
1001,44,5044,10044,Measured Voltage,M20_V,RTU_GENCON_M20_V,,,V
1001,300,5300,10300,Switch State,SW11_STATE,RTU_BUS1_SW11_STATE,,,Closed/Open
1001,301,5301,10301,Switch State,SW21_STATE,RTU_BUS1_SW21_STATE,,,Closed/Open
1001,302,5302,10302,Switch State,SW31_STATE,RTU_BUS1_SW31_STATE,,,Closed/Open
1001,303,5303,10303,Switch State,SW41_STATE,RTU_BUS1_SW41_STATE,,,Closed/Open
1001,304,5304,10304,Switch State,SW51_STATE,RTU_BUS1_SW51_STATE,,,Closed/Open
1001,305,5305,10305,Switch State,SW32_STATE,RTU_BUS2_SW32_STATE,,,Closed/Open
1001,306,5306,10306,Switch State,SW42_STATE,RTU_BUS2_SW42_STATE,,,Closed/Open
1001,307,5307,10307,Switch State,SW52_STATE,RTU_BUS2_SW52_STATE,,,Closed/Open
1001,308,5308,10308,Switch State,SW62_STATE,RTU_BUS2_SW62_STATE,,,Closed/Open
1001,309,5309,10309,Switch State,SW72_STATE,RTU_BUS2_SW72_STATE,,,Closed/Open
1001,310,5310,10310,Switch State,SW63_STATE,RTU_BUS3_SW63_STATE,,,Closed/Open
1001,311,5311,10311,Switch State,SW73_STATE,RTU_BUS3_SW73_STATE,,,Closed/Open
1001,312,5312,10312,Switch State,SW83_STATE,RTU_BUS3_SW83_STATE,,,Closed/Open
1001,313,5313,10313,Switch State,SW93_STATE,RTU_BUS3_SW93_STATE,,,Closed/Open
1001,314,5314,10314,Switch State,SW104_STATE,RTU_BUS3T_SW104_STATE,,,Closed/Open
1001,315,5315,10315,Switch State,SW114_STATE,RTU_BUS3T_SW114_STATE,,,Closed/Open
1001,316,5316,10316,Switch State,SW84_STATE,RTU_BUS3T_SW84_STATE,,,Closed/Open
1001,317,5317,10317,Switch State,SW94_STATE,RTU_BUS3T_SW94_STATE,,,Closed/Open
1001,318,5318,10318,Switch State,SW105_STATE,RTU_GENCON_SW105_STATE,,,Closed/Open
1001,319,5319,10319,Switch State,SW10_STATE,RTU_GENCON_SW10_STATE,,,Closed/Open
1001,320,5320,10320,Switch State,SW115_STATE,RTU_GENCON_SW115_STATE,,,Closed/Open
1001,321,5321,10321,Switch State,SW20_STATE,RTU_GENCON_SW20_STATE,,,Closed/Open
1001,400,5400,10400,Fuse State,FU104_STATE,RTU_BUS3T_FU104_STATE,,,Closed/Open
1001,500,5500,10500,Protective Relay State,PR114_STATE,RTU_BUS3T_PR114_STATE,,,Closed/Open
1001,700,5700,10700,Generated Power,G1_P,RTU_GENCON_G1_P,,,W
1001,701,5701,10701,Generated Power,G2_P,RTU_GENCON_G2_P,,,W
1001,702,5702,10702,Consumed Power,C1_P,RTU_GENCON_C1_P,,,W
1001,703,5703,10703,Consumed Power,C2_P,RTU_GENCON_C2_P,,,W
1001,200,5200,10200,Set Point Current,M11_SP_I,RTU_BUS1_M11_SP_I,,,A
1001,201,5201,10201,Set Point Voltage,M11_SP_V,RTU_BUS1_M11_SP_V,,,V
1001,202,5202,10202,Set Point Current,M21_SP_I,RTU_BUS1_M21_SP_I,,,A
1001,203,5203,10203,Set Point Voltage,M21_SP_V,RTU_BUS1_M21_SP_V,,,V
1001,204,5204,10204,Set Point Current,M31_SP_I,RTU_BUS1_M31_SP_I,,,A
1001,205,5205,10205,Set Point Voltage,M31_SP_V,RTU_BUS1_M31_SP_V,,,V
1001,206,5206,10206,Set Point Current,M41_SP_I,RTU_BUS1_M41_SP_I,,,A
1001,207,5207,10207,Set Point Voltage,M41_SP_V,RTU_BUS1_M41_SP_V,,,V
1001,208,5208,10208,Set Point Current,M51_SP_I,RTU_BUS1_M51_SP_I,,,A
1001,209,5209,10209,Set Point Voltage,M51_SP_V,RTU_BUS1_M51_SP_V,,,V
1001,210,5210,10210,Set Point Current,M32_SP_I,RTU_BUS2_M32_SP_I,,,A
1001,211,5211,10211,Set Point Voltage,M32_SP_V,RTU_BUS2_M32_SP_V,,,V
1001,212,5212,10212,Set Point Current,M42_SP_I,RTU_BUS2_M42_SP_I,,,A
1001,213,5213,10213,Set Point Voltage,M42_SP_V,RTU_BUS2_M42_SP_V,,,V
1001,214,5214,10214,Set Point Current,M52_SP_I,RTU_BUS2_M52_SP_I,,,A
1001,215,5215,10215,Set Point Voltage,M52_SP_V,RTU_BUS2_M52_SP_V,,,V
1001,216,5216,10216,Set Point Current,M62_SP_I,RTU_BUS2_M62_SP_I,,,A
1001,217,5217,10217,Set Point Voltage,M62_SP_V,RTU_BUS2_M62_SP_V,,,V
1001,218,5218,10218,Set Point Current,M72_SP_I,RTU_BUS2_M72_SP_I,,,A
1001,219,5219,10219,Set Point Voltage,M72_SP_V,RTU_BUS2_M72_SP_V,,,V
1001,220,5220,10220,Set Point Current,M63_SP_I,RTU_BUS3_M63_SP_I,,,A
1001,221,5221,10221,Set Point Voltage,M63_SP_V,RTU_BUS3_M63_SP_V,,,V
1001,222,5222,10222,Set Point Current,M73_SP_I,RTU_BUS3_M73_SP_I,,,A
1001,223,5223,10223,Set Point Voltage,M73_SP_V,RTU_BUS3_M73_SP_V,,,V
1001,224,5224,10224,Set Point Current,M83_SP_I,RTU_BUS3_M83_SP_I,,,A
1001,225,5225,10225,Set Point Voltage,M83_SP_V,RTU_BUS3_M83_SP_V,,,V
1001,226,5226,10226,Set Point Current,M93_SP_I,RTU_BUS3_M93_SP_I,,,A
1001,227,5227,10227,Set Point Voltage,M93_SP_V,RTU_BUS3_M93_SP_V,,,V
1001,228,5228,10228,Set Point Current,M104_SP_I,RTU_BUS3T_M104_SP_I,,,A
1001,229,5229,10229,Set Point Voltage,M104_SP_V,RTU_BUS3T_M104_SP_V,,,V
1001,230,5230,10230,Set Point Current,M114_SP_I,RTU_BUS3T_M114_SP_I,,,A
1001,231,5231,10231,Set Point Voltage,M114_SP_V,RTU_BUS3T_M114_SP_V,,,V
1001,232,5232,10232,Set Point Current,M84_SP_I,RTU_BUS3T_M84_SP_I,,,A
1001,233,5233,10233,Set Point Voltage,M84_SP_V,RTU_BUS3T_M84_SP_V,,,V
1001,234,5234,10234,Set Point Current,M94_SP_I,RTU_BUS3T_M94_SP_I,,,A
1001,235,5235,10235,Set Point Voltage,M94_SP_V,RTU_BUS3T_M94_SP_V,,,V
1001,236,5236,10236,Set Point Current,M105_SP_I,RTU_GENCON_M105_SP_I,,,A
1001,237,5237,10237,Set Point Voltage,M105_SP_V,RTU_GENCON_M105_SP_V,,,V
1001,238,5238,10238,Set Point Current,M10_SP_I,RTU_GENCON_M10_SP_I,,,A
1001,239,5239,10239,Set Point Voltage,M10_SP_V,RTU_GENCON_M10_SP_V,,,V
